title,alternativeTitle,creator,regDate,collectionDb,subjectCategory,subjectKeyword,extent,description,spatialCoverage,temporal,person,language,sourceTitle,referenceIdentifier,rights,copyrightOthers,url,contributor
너 이런 심리법칙 알아?,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,344,"심리학 전공자가 아니어도 일상에서 많이 볼 수 있는 심리법칙을 탄생한 기원, 역사적 사건을 바탕으로 설명했다. 법칙을 최초로 명명하거나 연구한 인물, 관련 실험 절차와 결과를 중심으로 일러스트와 함께 간단명료하게 설명했다. 특히 광고나 마케팅에 이용된 사례가 제시되어 일상생활에서 사용하는 용어의 의미를 쉽게 이해할 수 있다. 짧고 쉬운 내용 구성임에도 각 개념을 한 단계 깊이 이해할 수 있도록 실증적 연구 과정이나 관련 개념을 간략히 요약하여 심리학의 ",,,,Kor,,http://www.kpipa.or.kr/upload/201712/43426.13154855902420171221111404.jpg,이동귀,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72333&book_info_id=13,
뇌가 섹시해지는 인문학 지도,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,272,"대중 교통망이라는 메타포를 통해서 철학적 개념들의 관계와 맥락을 재미있고 쉽게 익힐 수 있게끔 꾸민 교양서이다. 일반 대중들이 흔히 추상적인 철학 용어들과 개념들을 어려워하는 점을 감안하면, 이러한 시도가 지식을 대중화하는데 긍정적인 효과를 끼치리라 기대할만 하다. 철학, 논리학, 언어, 미래학, 인식론 등의 주제를 서양고전을 토대로 풀어쓴 능력이 탁월하다. ",,,,Kor,,http://www.kpipa.or.kr/upload/201712/60731.455440422820171221111410.jpg,"뤼크 드 브라방데르, 안 미콜라이자크 / 이세진",,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72333&book_info_id=14,
"다산, 행복의 기술",,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,120,"다산 정약용은 누구보다 풍파가 심한 삶을 살았다. 다산은 자신의 내면적 아픔을 스스로 치유하기 위해 노력했고, 그 과정에서 다산학이라는 독보적 학문을 창조해 조선 지성사의 새 지평을 열었다. 오랫동안의 유배 생활을 하는 속에서도 청복의 즐거움을 향유했던 일상의 삶을 보여주는 이 책은 정신적, 물리적 고통에 직면한 현대인에게 긍정적 마인드와 의미 있는 삶의 방법 등을 제시한다는 점에서 의의가 있다.   ",,,,Kor,,http://www.kpipa.or.kr/upload/201712/8311.8377282848120171221111416.jpg,장승구,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72333&book_info_id=15,
다윈의 정원,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,368,"진화론은 단순한 생물학 이론이 아니라, 인간 자체에 관한 철학이기도 하다. 이러한 다윈의 진화론을 바탕으로 기존의 인문학에서 제시된 인간론의 한계를 지적하고 인간 본성에 대한 진화적 이해가 어떻게 종교, 포르노, 도덕, 문화, 혁신 등 다양한 방면에 활용될 수 있는지 탐구한 책이다. ""인간은 무엇인가?""에 관심있는 자는 꼭 읽어볼만 하다.",,,,Kor,,http://www.kpipa.or.kr/upload/201712/64998.4925566357120171221111423.jpg,장대익,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72333&book_info_id=16,
"교육이 미래라고 믿는 당신에게, PRIZE",,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,392,"교육개혁의 모델을 만들 수 있도록 하겠다는 ‘선의’로 시작한 주커버그의 1억불 자선기금은 결과적으로 뉴어크 지역사회의 공동체를 해체하게 한 매개가 되었다. 우리가 뉴어크 교육 개혁의 과정과 실패를 들여다볼 수 있도록 충실한 기록을 남겨준 이 책, PRIZE는 이 모든 과정을 아주 가까이에서 취재하고 다각도에서 관찰자의 눈으로 지켜본 워싱턴 포스트지 정치, 교육, 사회정책 분야 베테랑 기자 데일 루사코프의 20여 년 기자 경력이 농축된 또 하나의 선물이며 우리에게는 배움을 준다.",,,,Kor,,http://www.kpipa.or.kr/upload/201712/84968.9600277665620171221112946.jpg,데일 루사코프 / 유성상,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72335&book_info_id=13,
국가의 품격은 어떻게 만들어지는가,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,400,"현대 중국의 정치와 사상 논쟁에서 중요한 위치를 차지하는 정치철학자 짜우포충의 저서로, 기회의 평등, 정의와 자유, 빈곤의 책임 등 ‘국가의 품격을 높이기 위해 알아야 할 시민의 교양’을 자유주의 정치철학의 시각에서 설명한다. 국가의 주인으로서 알아야 할 기본 개념과 상식과 더불어 정치적 기본 개념을 알려주는 일종의 종합적인 인문교양서다.",,,,Kor,,http://www.kpipa.or.kr/upload/201712/80827.4165965756420171221112953.jpg,짜우포충 / 남혜선,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72335&book_info_id=14,
굴뚝 속으로 들어간 의사들,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,332,"일반인들이 접하기 어려운, 그래서 비판적 논의의 사각지대에 놓여 있는 일이 다반사인 근로자들의 노동현장을 이야기한다. 각각의 사건을 대면한 순간부터 원인을 파헤치는 과정, 은폐되었던 공장 안 이야기, 의술을 넘어 건강한 노동을 위한 조건 만들기까지 ‘굴뚝 밖’의 존재인 의사의 시선에서 현장을 추적한 르포르타주이자 21세기 한국사회 노동현장에 대한 생생한 보고서이다.",,,,Kor,,http://www.kpipa.or.kr/upload/201712/3989.27498606306320171221113001.jpg,강동묵 외 13인,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72335&book_info_id=15,
그건 혐오예요,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,228,"저자는 자신의 아버지 삶을 통해 아버지 세대 가부장을 성찰한 장편 다큐멘터리 <아버지의 이메일>을 만들었고 같은 제목으로 책도 내었다. 영화감독이자 시나리오 작가이면서 다른 한편으로는 여성이자 아르바이트로 생계를 꾸려 가는 불안정 노동자이다. 《그건 혐오예요》는 사회적 약자로서 저자 자신이 겪은 일들을 토대로 여성, 장애인, 이주노동자, 양심적 병역거부자, 성소수자, 동물 문제에 오래 천착해 온 독립영화 감독 6인을 만나 우리 사회의 현실을 생생하게 들려준다.",,,,Kor,,http://www.kpipa.or.kr/upload/201712/19473.42898409797320171221113012.jpg,홍재희,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72335&book_info_id=16,
그녀의 창업을 응원해,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,328,"20년 가까운 시간을 대한민국 여성 CEO들과 함께해온 정민정 경제지 기자가 2030 대표 여성 창업가 20인의 이야기를 책으로 풀었다. 패션, 뷰티, 먹거리, IT, 교육, 제조업 등 다양한 분야에서 성공한 여성 창업가들. 당찬 그녀들의 창업과 성공 노하우뿐만 아니라, 창업 후배들에게 해주는 조언을 따뜻하고 진솔한 육성 그대로 담았다. 취업보다 내 일이 하고 싶을 때, 회사에 다니고 있지만 미래가 불안할 때, 퇴사 후에 뭘 해야 할지 고민될 때, 경력 단절이지만 다시 일하고 싶을 때 이 책은 그 간절한 마음에 단비가 되어줄 것이다.",,,,Kor,,http://www.kpipa.or.kr/upload/201712/56326.5193338241120171221113020.jpg,정민정,,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=72335&book_info_id=17,
통영은 맛있다,,홈페이지,2021-01-05 19:50:47,세종도서_교양,,,324,"이 책은 경상도지만 경상도가 아닌 통영의 특별한 맛의 근원을 찾아 떠난다. 저자는 통영이 맛에 관한 한 경상도가 아니라고 단언한다. 나라 안에서 음식이 맛있기로 첫손 꼽히는 전주와 대등하다고 주장한다. 더 나아가 해산물 음식에 관한 한 전주보다 낫다는 것을 증명한다. 하지만 이 책이 단순한 통영 음식의 탐식기만은 아니다. 통영의 맛에서 비롯된 통영의 멋, 통영의 문화와 역사에 대한 해설서이기도 하다. 저자는 3년여 동안이나 통영에 장기 체류하며 자료조사와 취재를 하고 직접 통영 사람들 속에 섞여 살면서 몸으로 썼다. 이 책이 여행기지만 단순한 여행안내서가 아니기에 추천한다.",,,,Kor,,http://www.kpipa.or.kr/upload/201403/54631.53708669067420140324174204.jpg,"강제윤, 이상희",,http://www.kpipa.or.kr/info/excBookInfo.do?board_id=39&type_id=2&article_id=14471&book_info_id=23,
